epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2740.94,6.48141,12.494,2.32799,0.00601,5.40454,0.46618,0.24038,0.25826,0.15105,0.36101,0.13724,0.13444,0.07105,5.57206,12.1482,1.65261,0.00559,0,0.00999489,0.00333163,0.00999489,0.00333163,0.0766786,0.0700153,0.00999489,0.00333163
2,5527.3,6.21658,11.7709,1.73843,0.00561,4.35542,0.43895,0.27164,0.28654,0.16823,0.33129,0.15632,0.15309,0.08148,5.5596,11.9683,1.57508,0.00553,0,0.0197969,0.00659898,0.0197969,0.00659898,0.0531473,0.0399493,0.0197969,0.00659898
3,8268.59,6.20342,11.6527,1.69087,0.00565,4.32223,0.4484,0.29083,0.30058,0.17502,0.32619,0.16412,0.15355,0.08213,5.51284,11.9293,1.55312,0.00558,0,0.029401,0.00980033,0.029401,0.00980033,0.029418,0.00981736,0.029401,0.00980033
4,11026.5,6.1881,11.5714,1.66702,0.00558,4.19525,0.48297,0.29811,0.31695,0.18697,0.36554,0.17027,0.16461,0.08863,5.33007,11.6494,1.50972,0.00525,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,13701.9,6.09575,11.4689,1.63995,0.00547,4.11547,0.49187,0.30002,0.32317,0.19324,0.37255,0.17201,0.16986,0.09232,5.26236,11.5649,1.49155,0.00507,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,16421.5,6.06047,11.4064,1.62397,0.00536,4.03175,0.50067,0.30478,0.32834,0.19738,0.38191,0.17438,0.17233,0.09378,5.19547,11.5013,1.47175,0.00494,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,19127,6.05471,11.3864,1.62017,0.00535,4.0423,0.51291,0.3055,0.33333,0.20145,0.38744,0.1767,0.17502,0.09539,5.17116,11.4551,1.46064,0.00488,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,21857.9,6.03566,11.3553,1.6146,0.00531,4.04986,0.51408,0.30538,0.33425,0.20232,0.38969,0.17715,0.17594,0.09564,5.16328,11.4337,1.45807,0.00485,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,24535.6,6.03428,11.3673,1.61283,0.00529,4.01691,0.51594,0.30702,0.33592,0.2035,0.39517,0.17676,0.17688,0.09629,5.154,11.4234,1.45655,0.00482,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,27228.3,6.02029,11.3259,1.60842,0.0053,3.97079,0.51762,0.30772,0.33652,0.20407,0.39967,0.17589,0.17745,0.09664,5.14717,11.4138,1.45534,0.00481,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
